state,imr,hospitals,beds,gsdp,latitude,longitude
Kerala,55,162,4054,221904,8.5241,76.9366
Puducherry,77,0,0,159985.5,11.9416,79.8083
Mizoram,73,2,100,187327,23.7271,92.7176
Manipur,31,10,0,84746,24.817,93.9368
Andaman & Nicobar Islands,78,5,90,159985.5,11.6234,92.7265
Lakshadweep,124,0,0,159985.5,10.5667,72.6417
Chandigarh,53,2,80,159985.5,30.7333,76.7794
Goa,60,2,150,435959,15.4909,73.8278
Arunachal Pradesh,141,12,125,169742,27.0844,93.6053
Jammu And Kashmir,78,2,75,159985.5,34.0837,74.7973
Maharashtra,96,71,8836,202130,19.076,72.8777
Tripura,106,4,60,129675,23.8315,91.2868
Delhi,66,5,600,159985.5,28.6139,77.209
Meghalaya,81,10,100,82182,25.5788,91.8933
Sikkim,105,1,10,403376,27.3389,88.6065
Tamil Nadu,89,293,2381,213396,13.0827,80.2707
West Bengal,103,22,1150,121463,22.5726,88.3639
Punjab,74,9,208,151491,30.7333,76.7794
Karnataka,87,213,10195,223175,12.9716,77.5946
Dadra And Nagar Haveli And Daman And Diu,102,0,0,159985.5,20.3974,72.8328
Gujarat,81,64,3258,213936,23.2156,72.6369
Himachal Pradesh,101,34,710,183407,31.1048,77.1734
Andhra Pradesh,100,8,365,168480,16.5062,80.648
Bihar,95,8,950,46292,25.5941,85.1376
Haryana,87,11,745,247628,30.7333,76.7794
Assam,na,4,205,86801,26.1433,91.7898
Rajasthan,114,137,1391,116492,26.9124,75.7873
Uttar Pradesh,131,2316,11461,65431,26.8467,80.9462
Madhya Pradesh,158,23,690,98418,23.2599,77.4126
Odisha,119,14,903,109730,20.2961,85.8245
Nagaland,76,2,10,120518,25.6751,94.1086
Dadra And Nagar Haveli And Daman And Diu,60,0,0,159985.5,20.3974,72.8328
Chhattisgarh,a,0,0,159985.5,21.2514,81.6296
Jharkhand,a,5,350,75739,23.3441,85.3096
Uttarakhand,a,405,2073,202895,30.3165,78.0322
